"Ano_Ref","id_mun","AG001","POP_URB","AG006","AG028","FN001","FN002","FN006","FN013","FN023","FN033","FN042","FN048","FN052","FN058"
2021,2902104,35540,20874,1532.15,1951.42,5615949.54,5581600.34,5632520.7,1341032.21,891041.92,1024039.53,95000,825550,0,0
2020,2905107,6942,3193,369.14,277.02,1326441.18,1283465.95,1319781.49,167402.12,800074.22,835783.41,NA,NA,NA,NA
2021,2908507,26143,26280,1310.8,855.46,2627681.22,2576861.4,2612163.55,130199.24,5879419.51,6466748.05,0,0,0,0
2020,2909505,3632,3376,149.83,932.51,1045183.68,673846.05,1087165.26,228830.26,9011.25,26187.65,NA,NA,NA,NA
2020,2910750,16076,6992,1189.95,2181.71,3056559.91,3056556.91,3184996.58,711352.43,301108.42,348341.16,0,228725.81,0,0
2021,2913200,21621,20768,1349.06,445.69,8501445.12,5206357.8,8916705.94,321651.77,658649.96,1999640.06,0,0,0,0
2018,2913408,9738,8084,518.4,198.72,720806.16,720806.16,1001119.66,136815.47,188168.21,2188168.21,0,0,0,0
2019,2913507,15423,15267,684.27,520.4,3010904.93,2899089.88,3011394.73,184289.53,125155.4,125155.4,NA,NA,NA,NA
2021,2913606,144825,132864,10996.19,5805.39,63802737.21,43732767.56,59640916.44,4344583.13,3740113.01,15623907.53,0,0,0,0
2018,2914000,45636,29214,1967.15,4203,8558500.67,8377959.43,8480517.49,1224719.26,356718.49,22344869.19,NA,NA,0,0
2020,2915106,9516,9577,441.21,113.45,2099243.68,2064243.68,1948134.56,39207.3,57814.1,84823.8,8000,74000,0,0
2018,2915205,11614,9269,503.96,215,2301159.75,1972310.03,2357320.12,80283.15,0,0,NA,NA,0,0
2018,2915403,5550,5428,250.65,71,1258066.02,825388.92,1255453.89,41434.22,0,0,NA,NA,0,0
2020,2917607,41625,41639,1975.52,3554.96,10588893.44,8233891.37,10215525.04,1116102.95,700913.57,1239053.49,NA,NA,NA,NA
2017,2918803,5195,6656,239.89,178.43,1471624.07,1037058.46,1418311.78,54319.25,158088.3,278868.05,NA,NA,0,0
2018,2924652,7493,5919,260.12,14,1175827.55,1175827.55,1062423.13,13261,0,0,64773,64773,0,0
2018,2928802,43684,30312,2430.82,5553,7628653.82,7177775.42,7327787.44,592459.95,0,0,NA,NA,0,0
2017,2931202,10496,9988,707,326.98,1907637.62,1907637.62,1907637.62,137977.41,55254.53,55254.53,0,0,0,0
2017,2931905,28782,22009,1374.2,871.37,5950899.23,4441517.6,5815796.92,287857.29,0,38891.43,NA,NA,0,0
2018,2933208,42706,40065,4740.98,4118,17599925.4,16016522.96,16013600.87,2302239.72,247082.4,1063209.72,NA,NA,0,0
2018,2933604,33187,33187,1000,NA,3321236.5,3228693.96,3321236.5,382296.75,163950.58,163950.58,NA,NA,0,0
2021,2111300,964243,1054007,130152.81,89746.85,332393912.75,188192490.96,194513746.62,40846254.16,5651252.99,23481280.34,NA,NA,NA,NA
