"Ano_Ref","id_mun","ES001","POP_URB","ES006","ES028","FN001","FN003","FN006","FN013","FN024","FN033","FN043","FN048","FN053","FN058"
2021,2902104,20700,20874,16.95,NA,5615949.54,34349.2,5632520.7,1341032.21,21589.12,1024039.53,26550,825550,0,0
2020,2905107,547,3193,14.97,0,1326441.18,42975.23,1319781.49,167402.12,15333.77,835783.41,NA,NA,NA,NA
2021,2908507,1557,26280,40.12,24.16,2627681.22,50819.82,2612163.55,130199.24,4428.31,6466748.05,0,0,0,0
2020,2909505,2763,3376,98.36,16.72,1045183.68,371337.63,1087165.26,228830.26,0,26187.65,NA,NA,NA,NA
2020,2910750,8000,6992,0,NA,3056559.91,2,3184996.58,711352.43,0,348341.16,228725.81,228725.81,0,0
2021,2913200,18277,20768,675.88,120.95,8501445.12,3295087.32,8916705.94,321651.77,1288206.74,1999640.06,0,0,0,0
2018,2913408,6088,8084,390,NA,720806.16,0,1001119.66,136815.47,2e+06,2188168.21,0,0,0,0
2019,2913507,1827,15267,45.29,12.85,3010904.93,111815.05,3011394.73,184289.53,0,125155.4,NA,NA,NA,NA
2021,2913606,97073,132864,4510.95,2781.56,63802737.21,20069969.65,59640916.44,4344583.13,9825204.21,15623907.53,0,0,0,0
2018,2914000,3241,29214,99.89,27,8558500.67,180541.24,8480517.49,1224719.26,18180293.1,22344869.19,NA,NA,0,0
2020,2915106,12242,9577,0,NA,2099243.68,2000,1948134.56,39207.3,0,84823.8,26000,74000,0,0
2018,2915205,2729,9269,95.98,40,2301159.75,328849.72,2357320.12,80283.15,0,0,NA,NA,0,0
2018,2915403,3554,5428,157.04,39,1258066.02,432677.1,1255453.89,41434.22,0,0,NA,NA,0,0
2020,2917607,15885,41639,637.59,28.8,10588893.44,2355002.07,10215525.04,1116102.95,389400.07,1239053.49,NA,NA,NA,NA
2017,2918803,2951,6656,114.91,19.62,1471624.07,434565.61,1418311.78,54319.25,84768.01,278868.05,NA,NA,0,0
2018,2924652,5250,5919,79,140,1175827.55,0,1062423.13,13261,0,0,0,64773,0,0
2018,2928802,5029,30312,166.37,24,7628653.82,450878.4,7327787.44,592459.95,0,0,NA,NA,0,0
2017,2931202,7200,9988,0,0,1907637.62,0,1907637.62,137977.41,0,55254.53,0,0,0,0
2017,2931905,11552,22009,424.31,92.32,5950899.23,1509381.63,5815796.92,287857.29,33869.17,38891.43,NA,NA,0,0
2018,2933208,12365,40065,430.52,398,17599925.4,1583402.44,16013600.87,2302239.72,811230.75,1063209.72,NA,NA,0,0
2018,2933604,16593,33187,0,NA,3321236.5,92542.54,3321236.5,382296.75,0,163950.58,NA,NA,0,0
